2022-08-17 11:02:04.622 -04:00 [DBG] <discover> Refresh requested on schemas: [{"Id":"Contact","Name":"Contact","Description":"","Properties":[],"Count":null,"Sample":[],"Query":"","PublisherMetaJson":"","Errors":[],"DataFlowDirection":0}]
2022-08-17 11:02:04.622 -04:00 [INF] <discover> Schemas returned: 1
2022-08-17 11:02:04.636 -04:00 [INF] <test> Publishing records for schema: Contacts
2022-08-17 11:02:04.658 -04:00 [INF] <test> Beginning to read records real time...
2022-08-17 11:02:04.753 -04:00 [INF] <test> Real time read initializing...
2022-08-17 11:02:05.580 -04:00 [INF] <test> Waiting event from salesforce for the push topic /topic/Contacts_IdName
2022-08-17 11:02:06.261 -04:00 [INF] <test> Real time read initialized.
2022-08-17 11:02:11.451 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:02:05.7297658Z
2022-08-17 11:02:11.453 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:02:11.4522637Z
2022-08-17 11:04:22.867 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:02:11.4522637Z
2022-08-17 11:04:22.943 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:04:22.9311317Z
2022-08-17 11:04:30.259 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:04:22.9311317Z
2022-08-17 11:04:30.259 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:04:30.2592813Z
2022-08-17 11:04:35.272 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:04:30.2592813Z
2022-08-17 11:04:35.272 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:04:35.2725535Z
2022-08-17 11:04:40.294 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:04:35.2725535Z
2022-08-17 11:04:40.294 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:04:40.2941338Z
2022-08-17 11:04:45.305 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:04:40.2941338Z
2022-08-17 11:04:45.305 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:04:45.3050703Z
2022-08-17 11:04:46.713 -04:00 [DBG] <test> Got message: {"data":{"event":{"createdDate":"2022-08-17T15:04:46.414Z","replayId":1,"type":"created"},"sobject":{"Id":"0031U000026onWHQAY","Name":"test_new_1 test_new_1"}},"channel":"/topic/Contacts_IdName"}
2022-08-17 11:04:50.327 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:04:45.3050703Z
2022-08-17 11:04:57.068 -04:00 [DBG] <test> Upserting record Id_0031U000026onWHQAY_Email_
2022-08-17 11:04:57.071 -04:00 [DBG] <test> Got 1 records since 2022-08-17T15:04:57.0712186Z
2022-08-17 11:05:02.073 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:04:57.0712186Z
2022-08-17 11:05:02.074 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:02.0736997Z
2022-08-17 11:05:05.746 -04:00 [DBG] <test> Got message: {"data":{"event":{"createdDate":"2022-08-17T15:05:04.65Z","replayId":2,"type":"deleted"},"sobject":{"Id":"0031U000026onWHQAY"}},"channel":"/topic/Contacts_IdName"}
2022-08-17 11:05:07.084 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:02.0736997Z
2022-08-17 11:05:11.130 -04:00 [DBG] <test> Deleting record Id_0031U000026onWHQAY_Email_
2022-08-17 11:05:11.148 -04:00 [DBG] <test> Got 1 records since 2022-08-17T15:05:11.1485307Z
2022-08-17 11:05:16.170 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:11.1485307Z
2022-08-17 11:05:16.171 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:16.1708245Z
2022-08-17 11:05:21.182 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:16.1708245Z
2022-08-17 11:05:21.183 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:21.1829081Z
2022-08-17 11:05:21.458 -04:00 [DBG] <test> Got message: {"data":{"event":{"createdDate":"2022-08-17T15:05:20.818Z","replayId":3,"type":"created"},"sobject":{"Id":"0031U000026onWWQAY","Name":"test_new_2 test_new_2"}},"channel":"/topic/Contacts_IdName"}
2022-08-17 11:05:26.202 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:21.1829081Z
2022-08-17 11:05:29.225 -04:00 [DBG] <test> Upserting record Id_0031U000026onWWQAY_Email_
2022-08-17 11:05:29.229 -04:00 [DBG] <test> Got 1 records since 2022-08-17T15:05:29.2284737Z
2022-08-17 11:05:34.252 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:29.2284737Z
2022-08-17 11:05:34.252 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:34.2523104Z
2022-08-17 11:05:39.261 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:34.2523104Z
2022-08-17 11:05:39.261 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:39.2612058Z
2022-08-17 11:05:44.268 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:39.2612058Z
2022-08-17 11:05:44.268 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:44.2682143Z
2022-08-17 11:05:49.269 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:44.2682143Z
2022-08-17 11:05:49.270 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:49.2698923Z
2022-08-17 11:05:54.298 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:49.2698923Z
2022-08-17 11:05:54.299 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:54.2990406Z
2022-08-17 11:05:59.309 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:54.2990406Z
2022-08-17 11:05:59.312 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:05:59.3098625Z
2022-08-17 11:06:04.327 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:05:59.3098625Z
2022-08-17 11:06:04.329 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:04.3272646Z
2022-08-17 11:06:09.331 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:04.3272646Z
2022-08-17 11:06:09.332 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:09.3315394Z
2022-08-17 11:06:14.355 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:09.3315394Z
2022-08-17 11:06:14.355 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:14.3550636Z
2022-08-17 11:06:19.368 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:14.3550636Z
2022-08-17 11:06:19.369 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:19.3685371Z
2022-08-17 11:06:22.978 -04:00 [DBG] <test> Got message: {"data":{"event":{"createdDate":"2022-08-17T15:06:22.045Z","replayId":4,"type":"deleted"},"sobject":{"Id":"0031U000026onWWQAY"}},"channel":"/topic/Contacts_IdName"}
2022-08-17 11:06:24.377 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:19.3685371Z
2022-08-17 11:06:28.021 -04:00 [DBG] <test> Deleting record Id_0031U000026onWWQAY_Email_
2022-08-17 11:06:28.023 -04:00 [DBG] <test> Got 1 records since 2022-08-17T15:06:28.0231762Z
2022-08-17 11:06:33.033 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:28.0231762Z
2022-08-17 11:06:33.034 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:33.0338881Z
2022-08-17 11:06:38.075 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:33.0338881Z
2022-08-17 11:06:38.075 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:38.0750476Z
2022-08-17 11:06:43.085 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:38.0750476Z
2022-08-17 11:06:43.085 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:43.0852349Z
2022-08-17 11:06:48.104 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:43.0852349Z
